seed_node,kategorie,definition,n_files,n_raw_values,raw_values
Schwertransport,Transport,Großbauteile auf Schwerlast-LKW.,3,3,"ca. 33 km Distanz; Transport per Tieflader/Kran im Pressekontext (n=1); Tieflader, Kran, just-in-time-Anlieferung; 33 km laut PRECS (n=1); Tieflader; 30 km von Leinefelde nach Mühlhausen (n=1)"
Stockholder_Reuse_Lieferant,Lagerung,Externe Stockholder oder Reuse-Lieferanten verwalten Lager.,2,2,early engagement with Cleveland Steel (n=1); reused steel sourced from Cleveland Steel & Tubes laut Timber Development UK (n=1)
Zwischenlagerung,Lagerung,Bauteile werden zwischengelagert vor Wiedereinbau.,2,2,"Bauteiljäger*innen, Katalog, städtische Occasionslager (n=1); on-site storage / temporäres Materialdepot (n=1)"
Direkt_Wiederverwendung_ohne_Lager,Just-in-Time,Donor-Bauteile gehen direkt zum Empfänger — kein Zwischenlager.,1,1,"Tieflader, Kran, just-in-time-Anlieferung; 33 km laut PRECS (n=1)"
Campus_interne_Logistik,Just-in-Time,Donor-Empfänger auf demselben Campus / Areal.,0,0,
Datenluecke,Datenluecke,Datenlücke — Wert nicht angegeben oder unbekannt.,0,0,
Kennzeichnung_Tagging,Lagerung,"Bauteilkennzeichnung mit ID, QR-Code, RFID.",0,0,
Long_Distance_Reuse,Transport,"Reuse über lange Distanzen (cross-border, transkontinental).",0,0,
Regionale_Beschaffung,Transport,Beschaffung innerhalb der Region — kurze Transportwege.,0,0,
Rueckverfolgbarkeit_Tracability,Lagerung,Rückverfolgbarkeit durch alle Prozessphasen.,0,0,
Sortierung_Logistik,Lagerung,Sortierung und Kategorisierung im Lager.,0,0,
Verpackung,Transport,Verpackung der Bauteile für Transport und Lagerung.,0,0,
