project_id,live_bg_id,batch_bg_id,score,action,reason,live_alte_funktion,live_neue_funktion,batch_detail
p_55_great_suffolk_street_london,bg_reuse_stahl_mehrere_55gss_external_core,bg_reuse_stahl_mehrere_55gss_external_core,1.0,auto_confirm,exact_slug_match,steel frame / reclaimed stock,structural external service and circulation core,
p_association_house_groeditz,bg_reuse_stahlbeton_mehrere_groeditz_dresden_type_precast_components,bg_reuse_stahlbeton_mehrere_groeditz_dresden_type_precast_components,1.0,auto_confirm,exact_slug_match,"school precast components: exterior walls, interior walls, slabs, plinths, stair","sport/association house structure, walls, slabs and stairs",
p_association_house_groeditz,bg_reuse_stahlbeton_mehrere_groeditz_wbs70_precast_panels,bg_reuse_stahlbeton_mehrere_groeditz_wbs70_precast_panels,1.0,auto_confirm,exact_slug_match,WBS70 building panels,walls/slabs/facade components in association house,
p_association_house_plauen,bg_reuse_stahlbeton_mehrere_plauen_iw73_6_precast_components,bg_reuse_stahlbeton_mehrere_plauen_iw73_6_precast_components,1.0,auto_confirm,exact_slug_match,precast wall/floor components in IW73/6 mass housing,"structure, walls and floors in sport/association house",
p_awm_muenster_circular_office,bg_reuse_glas_mehrere_awm_partitions_doors,bg_reuse_glas_mehrere_awm_partitions_doors,1.0,auto_confirm,exact_slug_match,office/building partitions in Behrensbau Düsseldorf,partitions and doors in AWM office fit-out,
p_awm_muenster_circular_office,bg_reuse_holz_ausbau_awm_fixed_builtins,bg_reuse_holz_ausbau_awm_fixed_builtins,1.0,auto_confirm,exact_slug_match,ceiling construction / retail fit-out wood,"sideboard, kitchen, wall/substructure and fixed built-ins",
p_awm_muenster_circular_office,bg_reuse_holz_wand_awm_cladding_old_chairs,bg_reuse_holz_wand_awm_cladding_old_chairs,1.0,auto_confirm,exact_slug_match,loose chairs / seating furniture,fixed wall cladding,
p_awm_muenster_circular_office,bg_reuse_kunststoff_wand_awm_wc_partitions,bg_reuse_kunststoff_wand_awm_wc_partitions,1.0,auto_confirm,exact_slug_match,sanitary partitions,WC partitions in AWM office,
p_awm_muenster_circular_office,bg_reuse_stahl_mehrere_awm_cable_trays_shelves_lights,bg_reuse_stahl_mehrere_awm_cable_trays_shelves_lights,1.0,auto_confirm,exact_slug_match,cable trays / LED lighting,shelves and general lighting carriers,
p_bedzed_london_hackbridge,bg_reuse_holz_wand_bedzed_studs,bg_reuse_holz_wand_bedzed_studs,1.0,auto_confirm,exact_slug_match,unknown reclaimed timber use,wall stud / plasterboard wall substructure,
p_bedzed_london_hackbridge,bg_reuse_mehrere_mehrere_bedzed_fixed_secondary_components,bg_reuse_mehrere_mehrere_bedzed_fixed_secondary_components,1.0,auto_confirm,exact_slug_match,doors / scaffold tubes / exterior paving elements,"fixed doors, balustrades, exterior kerbs or paving",
p_bedzed_london_hackbridge,bg_reuse_stahl_mehrere_bedzed_structural,bg_reuse_stahl_mehrere_bedzed_structural,1.0,auto_confirm,exact_slug_match,structural steel in previous buildings,"structural steel frame, mainly workspaces",
