from_node_id,edge_type,to_node_id,evidence_status,source_url,source_quote,applicability_reason,missing_info,confidence
rw_din_spec_91484,GILT_IN_LAND,land_deutschland,rule_documented,https://din.one/pages/viewpage.action?pageId=160465716,Verfahren zur Erfassung von Bauprodukten als Grundlage fuer Bewertungen des Anschlussnutzungspotentials vor Abbruch- und Renovierungsarbeiten (Pre-Demolition-Audit).,jurisdiction of the rule,,0.9
nf_bauteilidentifikation,GESTUETZT_AUF_REGELWERK,rw_din_spec_91484,rule_documented,https://din.one/pages/viewpage.action?pageId=160465716,Verfahren zur Erfassung von Bauprodukten als Grundlage fuer Bewertungen des Anschlussnutzungspotentials vor Abbruch- und Renovierungsarbeiten (Pre-Demolition-Audit).,Nachweis is required/backed by this rule,,0.9
nf_herkunfts_und_rueckbaudokumentation,GESTUETZT_AUF_REGELWERK,rw_din_spec_91484,rule_documented,https://din.one/pages/viewpage.action?pageId=160465716,Verfahren zur Erfassung von Bauprodukten als Grundlage fuer Bewertungen des Anschlussnutzungspotentials vor Abbruch- und Renovierungsarbeiten (Pre-Demolition-Audit).,Nachweis is required/backed by this rule,,0.9
nf_zustands_und_massaufnahme,GESTUETZT_AUF_REGELWERK,rw_din_spec_91484,rule_documented,https://din.one/pages/viewpage.action?pageId=160465716,Verfahren zur Erfassung von Bauprodukten als Grundlage fuer Bewertungen des Anschlussnutzungspotentials vor Abbruch- und Renovierungsarbeiten (Pre-Demolition-Audit).,Nachweis is required/backed by this rule,,0.9
rf_reusedokumentationfrage,ERFORDERT_NACHWEIS,nf_bauteilidentifikation,rule_documented,https://din.one/pages/viewpage.action?pageId=160465716,Verfahren zur Erfassung von Bauprodukten als Grundlage fuer Bewertungen des Anschlussnutzungspotentials vor Abbruch- und Renovierungsarbeiten (Pre-Demolition-Audit).,question answered via rw_din_spec_91484,,0.9
rf_reusedokumentationfrage,ERFORDERT_NACHWEIS,nf_herkunfts_und_rueckbaudokumentation,rule_documented,https://din.one/pages/viewpage.action?pageId=160465716,Verfahren zur Erfassung von Bauprodukten als Grundlage fuer Bewertungen des Anschlussnutzungspotentials vor Abbruch- und Renovierungsarbeiten (Pre-Demolition-Audit).,question answered via rw_din_spec_91484,,0.9
rf_reusedokumentationfrage,ERFORDERT_NACHWEIS,nf_zustands_und_massaufnahme,rule_documented,https://din.one/pages/viewpage.action?pageId=160465716,Verfahren zur Erfassung von Bauprodukten als Grundlage fuer Bewertungen des Anschlussnutzungspotentials vor Abbruch- und Renovierungsarbeiten (Pre-Demolition-Audit).,question answered via rw_din_spec_91484,,0.9
rf_rueckbau_und_bauteilernte_frage,ERFORDERT_NACHWEIS,nf_bauteilidentifikation,rule_documented,https://din.one/pages/viewpage.action?pageId=160465716,Verfahren zur Erfassung von Bauprodukten als Grundlage fuer Bewertungen des Anschlussnutzungspotentials vor Abbruch- und Renovierungsarbeiten (Pre-Demolition-Audit).,question answered via rw_din_spec_91484,,0.9
rf_rueckbau_und_bauteilernte_frage,ERFORDERT_NACHWEIS,nf_herkunfts_und_rueckbaudokumentation,rule_documented,https://din.one/pages/viewpage.action?pageId=160465716,Verfahren zur Erfassung von Bauprodukten als Grundlage fuer Bewertungen des Anschlussnutzungspotentials vor Abbruch- und Renovierungsarbeiten (Pre-Demolition-Audit).,question answered via rw_din_spec_91484,,0.9
rf_rueckbau_und_bauteilernte_frage,ERFORDERT_NACHWEIS,nf_zustands_und_massaufnahme,rule_documented,https://din.one/pages/viewpage.action?pageId=160465716,Verfahren zur Erfassung von Bauprodukten als Grundlage fuer Bewertungen des Anschlussnutzungspotentials vor Abbruch- und Renovierungsarbeiten (Pre-Demolition-Audit).,question answered via rw_din_spec_91484,,0.9
rw_din_spec_91525,GILT_IN_LAND,land_deutschland,rule_documented,https://www.dinmedia.de/en/technical-rule/din-spec-91525/397760893,"Anschlussnutzungskonzept (PUC): einheitliche Kriterien fuer die wirtschaftliche, technische und oekologische Bewertung von Bauteilen fuer die Wiederverwendung.",jurisdiction of the rule,,0.9
