claim_id,scope,property_key,occurrences,approved_manifest,classification,drift_bucket,notes,agent_id
F07-NK-001,node,adresse,246,no,DOCUMENT_DRIFT,intentional_post_p6,geo intake (latitude/longitude cluster),F07
F07-NK-002,node,aktualisiert_am_utc,32,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-003,node,akzeptanzfaktoren,6,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-004,node,aliases,42,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-005,node,alte_funktion,248,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-006,node,area_m2_gross,35,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-007,node,bauobjektklasse,199,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-008,node,bauproduktstatus,32,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-009,node,bauteilebene,286,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-010,node,beschreibung,88,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-011,node,bg_kind,364,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-012,node,bilanzgrenze,214,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-013,node,brand_layer,15,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-014,node,category,266,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-015,node,confidence,91,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
