claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes,source_agent,coverage_level,graph_element_id,match_status
EP01-rel-00001,rel,r_2emain_be__HAT_AKTEURROLLE__ar_materiallieferung_markt,2emain_be,ar_materiallieferung_markt,HAT_AKTEURROLLE,2emain.be (2emain_be) has actor role Materiallieferung_Markt (ar_materiallieferung_markt),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"Every `Akteur` has `HAT_AKTEURROLLE`, `HAT_AKTEURTYP` when inferable, and `BELEGT_IN`. | live (2emain_be)-[:HAT_AKTEURROLLE]->(ar_materiallieferung_markt:Akteurrolle name='Materiallieferung_Markt'); target in controlled_vocabulary.seed.kg.jsonl",KEEP,EP-01,domain=Akteur; range=Akteurrolle,EP-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6978429877191972874,rel
EP01-rel-00002,rel,r_2hs__HAT_AKTEURROLLE__ar_entwurf_planung,2hs,ar_entwurf_planung,HAT_AKTEURROLLE,2hs (2hs) has actor role Entwurf_Planung (ar_entwurf_planung),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"Every `Akteur` has `HAT_AKTEURROLLE`, `HAT_AKTEURTYP` when inferable, and `BELEGT_IN`. | live (2hs)-[:HAT_AKTEURROLLE]->(ar_entwurf_planung:Akteurrolle name='Entwurf_Planung'); target in controlled_vocabulary.seed.kg.jsonl",KEEP,EP-01,domain=Akteur; range=Akteurrolle,EP-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153023759188236632,rel
EP01-rel-00003,rel,r_2hs__HAT_AKTEURROLLE__ar_forschung_dokumentation,2hs,ar_forschung_dokumentation,HAT_AKTEURROLLE,2hs (2hs) has actor role Forschung_Dokumentation (ar_forschung_dokumentation),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"Every `Akteur` has `HAT_AKTEURROLLE`, `HAT_AKTEURTYP` when inferable, and `BELEGT_IN`. | live (2hs)-[:HAT_AKTEURROLLE]->(ar_forschung_dokumentation:Akteurrolle name='Forschung_Dokumentation'); target in controlled_vocabulary.seed.kg.jsonl",KEEP,EP-01,domain=Akteur; range=Akteurrolle,EP-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155275559001921880,rel
EP01-rel-00004,rel,r_2hs__HAT_AKTEURROLLE__ar_reuse_zirkularitaetsberatung,2hs,ar_reuse_zirkularitaetsberatung,HAT_AKTEURROLLE,2hs (2hs) has actor role Reuse_Zirkularitaetsberatung (ar_reuse_zirkularitaetsberatung),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"Every `Akteur` has `HAT_AKTEURROLLE`, `HAT_AKTEURTYP` when inferable, and `BELEGT_IN`. | live (2hs)-[:HAT_AKTEURROLLE]->(ar_reuse_zirkularitaetsberatung:Akteurrolle name='Reuse_Zirkularitaetsberatung'); target in controlled_vocabulary.seed.kg.jsonl",KEEP,EP-01,domain=Akteur; range=Akteurrolle,EP-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157527358815607128,rel
EP01-rel-00005,rel,r_3xn__HAT_AKTEURROLLE__ar_entwurf_planung,3xn,ar_entwurf_planung,HAT_AKTEURROLLE,3XN (3xn) has actor role Entwurf_Planung (ar_entwurf_planung),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"Every `Akteur` has `HAT_AKTEURROLLE`, `HAT_AKTEURTYP` when inferable, and `BELEGT_IN`. | live (3xn)-[:HAT_AKTEURROLLE]->(ar_entwurf_planung:Akteurrolle name='Entwurf_Planung'); target in controlled_vocabulary.seed.kg.jsonl",KEEP,EP-01,domain=Akteur; range=Akteurrolle,EP-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153023759188236822,rel
EP01-rel-00006,rel,r_3xn__HAT_AKTEURROLLE__ar_reuse_zirkularitaetsberatung,3xn,ar_reuse_zirkularitaetsberatung,HAT_AKTEURROLLE,3XN (3xn) has actor role Reuse_Zirkularitaetsberatung (ar_reuse_zirkularitaetsberatung),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"Every `Akteur` has `HAT_AKTEURROLLE`, `HAT_AKTEURTYP` when inferable, and `BELEGT_IN`. | live (3xn)-[:HAT_AKTEURROLLE]->(ar_reuse_zirkularitaetsberatung:Akteurrolle name='Reuse_Zirkularitaetsberatung'); target in controlled_vocabulary.seed.kg.jsonl",KEEP,EP-01,domain=Akteur; range=Akteurrolle,EP-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155275559001922070,rel
EP01-rel-00007,rel,r_51n4e__HAT_AKTEURROLLE__ar_entwurf_planung,51n4e,ar_entwurf_planung,HAT_AKTEURROLLE,51N4E (51n4e) has actor role Entwurf_Planung (ar_entwurf_planung),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"Every `Akteur` has `HAT_AKTEURROLLE`, `HAT_AKTEURTYP` when inferable, and `BELEGT_IN`. | live (51n4e)-[:HAT_AKTEURROLLE]->(ar_entwurf_planung:Akteurrolle name='Entwurf_Planung'); target in controlled_vocabulary.seed.kg.jsonl",KEEP,EP-01,domain=Akteur; range=Akteurrolle,EP-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:7048235671416215558,rel
EP01-rel-00008,rel,r_CITYFOERSTER__HAT_AKTEURROLLE__ar_entwurf_planung,CITYFOERSTER,ar_entwurf_planung,HAT_AKTEURROLLE,CITYFÖRSTER (CITYFOERSTER) has actor role Entwurf_Planung (ar_entwurf_planung),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"Every `Akteur` has `HAT_AKTEURROLLE`, `HAT_AKTEURTYP` when inferable, and `BELEGT_IN`. | live (CITYFOERSTER)-[:HAT_AKTEURROLLE]->(ar_entwurf_planung:Akteurrolle name='Entwurf_Planung'); target in controlled_vocabulary.seed.kg.jsonl",KEEP,EP-01,domain=Akteur; range=Akteurrolle,EP-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153023759188236394,rel
EP01-rel-00009,rel,r_CITYFOERSTER__HAT_AKTEURROLLE__ar_reuse_zirkularitaetsberatung,CITYFOERSTER,ar_reuse_zirkularitaetsberatung,HAT_AKTEURROLLE,CITYFÖRSTER (CITYFOERSTER) has actor role Reuse_Zirkularitaetsberatung (ar_reuse_zirkularitaetsberatung),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"Every `Akteur` has `HAT_AKTEURROLLE`, `HAT_AKTEURTYP` when inferable, and `BELEGT_IN`. | live (CITYFOERSTER)-[:HAT_AKTEURROLLE]->(ar_reuse_zirkularitaetsberatung:Akteurrolle name='Reuse_Zirkularitaetsberatung'); target in controlled_vocabulary.seed.kg.jsonl",KEEP,EP-01,domain=Akteur; range=Akteurrolle,EP-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155275559001921642,rel
EP01-rel-00010,rel,r_Lendager__HAT_AKTEURROLLE__ar_entwurf_planung,Lendager,ar_entwurf_planung,HAT_AKTEURROLLE,Lendager (Lendager) has actor role Entwurf_Planung (ar_entwurf_planung),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"Every `Akteur` has `HAT_AKTEURROLLE`, `HAT_AKTEURTYP` when inferable, and `BELEGT_IN`. | live (Lendager)-[:HAT_AKTEURROLLE]->(ar_entwurf_planung:Akteurrolle name='Entwurf_Planung'); target in controlled_vocabulary.seed.kg.jsonl",KEEP,EP-01,domain=Akteur; range=Akteurrolle,EP-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153023759188236396,rel
