projekt_id,projekt_name,staedte,laender,bauwerke,status,matchingqualitaet_geo
p_55_great_suffolk_street_london,55 Great Suffolk Street,London,Vereinigtes Königreich,"55 Great Suffolk Street…;1 Broadgate, London",Unklar,
p_awm_muenster_circular_office,AWM Münster – zirkulärer…,Münster,Deutschland,AWM Münster administrati…;Behrensbau Düsseldorf…;Public building and…,Realisiert,
p_bedzed_london_hackbridge,BedZED,London,Vereinigtes Königreich,BedZED mixed-use quarter;Brighton Railway…;Local demolition and…,Realisiert,Geo: regional
p_berlin_schildow_pilot_house,Berlin-Schildow Pilot,Schildow,Deutschland,Schildow Pilotwohnhaus;Berliner/Marzahner…,"['Prototyp', 'Realisiert']",Geo: regional
p_bestandverplanzung_pavilion_muenchen,Bestandverplanzung…,München,Deutschland,Bestandverplanzung…;Bungalows des Olympische…,"['Prototyp', 'Realisiert']",
p_big_dig_building_boston,Big Dig Building,"Boston;Cambridge, Massachusetts",USA,Big Dig Building;Big Dig (CA/T),"['Prototyp', 'Verworfen', 'Vorgeschlagen']",
p_big_dig_house_lexington_massachusetts,Big Dig House,"Lexington, Massachusetts",USA,Big Dig House;Big Dig (I-93),Realisiert,Geo: international
p_biopartner_5_leiden_oegstgeest,BioPartner 5,Leiden;Oegstgeest,Niederlande,BioPartner 5;Gorlaeus Hochhaus;Gorlaeus (Biopartner),Realisiert,Geo: lokal (<50 km)
p_bluecity_offices_rotterdam,BlueCity Offices…,Rotterdam,Niederlande,BlueCity Offices;Ehemaliges Tropicana;Tropicana Rotterdam,Realisiert,
p_boulder_fire_station_3,Boulder FS-3,"Boulder, Colorado",USA,Fire Station 3 & Fire…;Boulder Community…,Realisiert,Geo: lokal (<50 km)
p_brent_cross_town_primary_substation_london,Brent Cross Town…,London,Vereinigtes Königreich,Substation screen;Surplus,Realisiert,
p_brighton_waste_house_brighton,Brighton Waste House,Brighton,Vereinigtes Königreich,Brighton Waste House,Realisiert,
p_broethen_twin_house_hoyerswerda,Broethen Twin-House,Hoyerswerda / Broethen,Deutschland,Broethen Twin-House,Realisiert,
p_crclr_house_impact_hub_berlin,CRCLR House,Berlin,Deutschland,Externe Reuse-Quellen…,Realisiert,Geo: lokal (<50 km)
p_cascadeup_london_secondary_timber_glulam_demonstrator,CascadeUp,London,Vereinigtes Königreich,CascadeUp modularer…,Prototyp,
p_chiro_d_itterbeek_dilbeek,Chiro d’Itterbeek,Dilbeek / Itterbeek,Belgien,Sanitary block for the…,Realisiert,
p_christ_pavilion_volkenroda,Christus-Pavillon,Volkenroda / Koerner,Deutschland,Christus-Pavillon EXPO…;Christus-Pavillon…,Realisiert,
p_circl_abn_amro,Circl,Amsterdam,Niederlande,Circl Pavilion AMS,,
p_circular_centre_netherlands_prinsenhof_a_reuse_pilot,Circular Centre Netherla…,Arnhem;Heerde,Niederlande,"CCN Heerde;Prinsenhof A, Arnhem",Geplant,
p_circular_pavilion_paris,Circular Pavilion Paris,Paris,Frankreich,Circular Pavilion at…,"['Realisiert', 'Temporaer']",
p_elementa_walkeweg,ELEMENTA Walkeweg,Basel,Schweiz,ELEMENTA Walkeweg;Lysbüchel Parkgarage,,
p_elys_kultur_gewerbehaus_basel,ELYS Kultur- und…,Basel,Schweiz,Ehemaliges Coop-Verteilz…;Regionale Rueckbau- und…,Realisiert,Geo: lokal (<50 km)
p_europa_building_brussels,Europa Building Brussels,Brüssel,Belgien,Europa Building Brussels;Residence Palace Block A;EU-weite Renovierungs-…,Realisiert,
p_ferme_du_rail_paris,Ferme du Rail Paris,Paris,Frankreich,La Ferme du Rail…,Realisiert,Geo: lokal (<50 km);Geo: regional
p_grande_halle_de_colombelles,Grande Halle de Colombel…,Colombelles,Frankreich,Grande Halle de Colombel…;Regionale Rückbau- und…,Realisiert,Geo: lokal (<50 km)
p_grubenstrasse_29_werkhof_29_zuerich,Grubenstrasse 29,Zürich,Schweiz,Werkhof 29;Externe Rückbauprojekte…,Realisiert,Geo: lokal (<50 km)
p_hastings_pier_visitor_centre,Hastings Pier Visitor…,Hastings,Vereinigtes Königreich,Hastings Pier Visitor…;Brandschaden;Erhaltene/restaurierte…,Realisiert,Geo: lokal (<50 km)
p_haus_hos_mehrfamilienhaus_muehlhausen,Haus HOS,"Mühlhausen, Thüringen;Leinefelde",Deutschland,Haus HOS Mehrfamilienhau…;Rückbaustelle,Realisiert,Geo: regional
p_holbein_gardens_london,"Holbein Gardens, London",London,Vereinigtes Königreich,Holbein Gardens 1980er…;Cleveland Steel reclaimed,Realisiert,Geo: lokal (<50 km)
p_house_of_fraser_318_oxford_street_tbc_london_reuse_chain,House of Fraser,London,Vereinigtes Königreich,Cleveland Steel reclaimed;318 Oxford Street;TBC.London,"['In_Bau', 'Realisiert']",
p_harmalanranta_a_kruunu_recreate_mini_pilot_tampere,Härmälänranta,Tampere,Finnland,Härmälänrannan Ernst;1980er Bürogebäude im…,Realisiert,
p_impact_hub_berlin_crclr_fitout,Impact Hub Berlin,Berlin,Deutschland,Impact Hub Berlin…;CRCLR House,Realisiert,
p_institut_de_botanique_ulg_liege,Institut de Botanique…,Liège / Lüttich,Belgien,Institut de Botanique…,Realisiert,Geo: lokal (<50 km)
p_jeugdkliniek_ithaka_emergis_kloetinge,Jeugdkliniek Ithaka,Kloetinge,Niederlande,Kinder- en jeugdkliniek…;Ehemaliges Rijkswatersta…;Erhaltener Emergis-Besta…,Realisiert,
p_juch_areal_recyclingzentrum_zuerich,Juch-Areal Recyclingzent…,Zürich,Schweiz,Neues Recyclingzentrum…;Ehemalige Recyclinghalle…;Kerenzerbergtunnel;Schellinghalle Rümlang,Geplant,
p_jugendtreff_ingersheim,Jugendtreff Ingersheim,Ingersheim,Deutschland,Jugendtreff Ingersheim;Stuttgart 21 Bhf,,
p_k118_kopfbau_halle_118_winterthur,K.118 Winterthur,Winterthur,Schweiz,Kopfbau Halle 118;Bestehende Industriehall…;ELYS-Projekt Basel;Orion-Bürogebäude Zürich,Realisiert,Geo: lokal (<50 km)
p_ka13_kristian_augusts_gate_13_oslo,KA13,Oslo,Norwegen,Kristian Augusts gate 13;Regjeringsbygg R4;KA13 Bestandsgebäude…,Realisiert,Geo: lokal (<50 km)
p_kamikatsu_zero_waste_center_hotel_why,Kamikatsu Zero Waste…,"Kamikatsu, Tokushima Prefecture",Japan,Kamikatsu Zero Waste…;Lokale Häuser und…;Altes Rathaus Kamikatsu,Realisiert,Geo: international
p_kindergarten_moeoeslistrasse_manegg_zuerich,Kindergarten Mööslistras…,Zürich,Schweiz,Werkhof Mööslistrasse;Schulhaus Lavater;Ehemaliges Einkaufswagen…;Städtische Occasionslage…,Realisiert,
p_lysp8_basel,LYSP8 Basel,Basel,Schweiz,LysP8 Basel,,
