cluster_label,n_files,n_raw_values,raw_values
extension,5,5,Retrofit + Extension zu Arbeitsplatznutzung (n=1); Neubau/Extension + Renovation-Kontext (n=1); TBC.London retrofit + extension (n=1); Restoration and extension of a former convent to create a town hall (n=1); Renovation and extension; neuer Museumsbau im Blockinneren (n=1)
neubau,5,5,Neubau aus wiederverwendeten Betonfertigteilen (n=1); Neubau mit gebrauchten Betonfertigteilen (n=1); Neubau/Extension + Renovation-Kontext (n=1); Neubau eines Mehrfamilienhauses aus demontierten Plattenbauteilen (n=1); Neubau mit Reuse + bio-/geobasierten Materialien (n=1)
aufstockung,4,4,"Umbau, Aufstockung und Impact Hub-Ausbau (n=1); Aufstockung Grubenstrasse (n=1); Refurbishment plus 1-/2-geschossige Aufstockung (n=1); Aufstockung um 3 Etagen (n=1)"
berlin,3,3,Impact_Hub_Berlin_CRCLR (n=1); BOELL_LAB_Berlin (n=1); Berlin_Global_Village (n=1)
kultur,3,3,Kultur-/Ausstellungs-/Debattenpavillon (n=1); Umnutzung zu Kultur- und Gewerbehaus (n=1); Transformation zu Community-/Kultur-/Arbeitsgebäude (n=1)
transformation,3,3,Reuse and transformation / KA13 (n=1); Transformation zu Community-/Kultur-/Arbeitsgebäude (n=1); Verbiest transformation (n=1)
wbs70,3,3,Pilotprojekt zur Wiederverwendung von WBS70-Platten (n=1); Schildow-Pilot / Wiederverwendung WBS70 (n=1); Wiederverwendung von WBS70-Platten im Wohnhaus (n=1)
winterthur,3,2,Hobelwerk_Winterthur (n=2); Lagerplatz_Winterthur (n=1)
zero,3,3,Beddington Zero Energy Development (n=1); Zero-Waste-Zentrum und Hotel (n=1); Net-zero / hybrid timber office redevelopment (n=1)
_unclustered,54,59,"Volta_Nord (n=2); moderne Arbeitswelt aus gebrauchten Materialien (n=1); Wiederverwendung von Paneelen aus Olympiadorf-Bungalows (n=1); Wiederverwendung von Big-Dig-Infrastrukturmaterialien (n=1); Reuse of Big Dig steel and concrete (n=1); BioPartner Center Leiden, fünftes Gebäude (n=1); Büroflügel im ehemaligen Discobereich (n=1); New Boulder Fire-Rescue Station 3 (n=1); City of Boulder (n=1); 80 MVA Substation für Brent Cross Town (n=1); Gebäude aus über 85 % Abfall-/Überschussmaterial (n=1); Wiederverwendung von P2-Plattenbauteilen (n=1); UCL Circular Economy Lab + UK CLT Pilot (n=1); Umnutzung zu kommunaler Verwaltungsstelle (n=1); Demontage und Wiederaufbau des gesamten Ensembles (n=1); Sitz Europäischer Rat / Rat der EU (n=1); Réinventer Paris 1 / Ourcq-Jaurès (n=1); gekrümmte Ziegelschale mit Innenstruktur (n=1); Umwandlung in Tiers-lieu der Kreislaufwirtschaft (n=1); Modissa Immobilien AG / HANUVER AG (n=1); A-Kruunu Mietwohnungsbau (n=1); Hastings Pier Regeneration (n=1); 318 Oxford Street retrofit (n=1); Coworking- und Community-Space (n=1); Neues Recyclingzentrum ERZ Juch-Areal (n=1); Kindergarten mit Betreuung für Schule Manegg (n=1); Alliander HQ / Liander office (n=1); Metso Lokomotion Technology Centre Phase 1 (n=1); selektiver Rückbau Block 3000, Umbau Block 6000, Neugestaltung Außenanlagen (n=1); Maison des économies solidaires et innovantes / Les Canaux (n=1); new construction of Montessori School Maassluis (n=1); Stichting Montessorischolen Monton / Stichting Montessorischolen Midden-Nederland (Monton) (n=1); Anculus B.V. (n=1); großmaßstäbliche Büro-/Mixed-use-Rekonversion (n=1); Meeting space during DDW 2017 (n=1); Forschungs- und Bildungsprojekt zur Recyclingkultur (n=1); neues PLP Studio (n=1); Recyclinghaus Hanover/Hannover (n=1); Gundlach GmbH & Co. KG Wohnungsunternehmen (n=1); Recyclingzentrum und öffentlicher Raum (n=1); Ferme des Possibles (n=1); Resource Rows (n=1); Fabrix Roots in the Sky (n=1); iQ Student Accommodation / Former Blackfriars Crown Court redevelopment (n=1); PV-überdachter Gerätebau (n=1); SUPERLOCAL – Super Circular Estate (n=1); Circular daycare / kindergarten (n=1); temporärer Stopgap / circular pavilion (n=1); TRÆ (n=1); 20 row houses / terraced houses (n=1); Karreveld 1/2 (n=1); Villa Welpeloo (n=1); 19 soziale Mietwohnungen + Nachbarschaftszentrum (n=1); Masui4Ever (n=1); Wohnbauprogramm_1000plus_Basel (n=1); RotorDC_Da_Vinci_Site (n=1); VOLLGUT_eG (n=1); KINDL_Zentrum_fuer_zeitgenoessische_Kunst (n=1); ReUseBox_Heilbronn (n=1)"
