source,source_entity,source_id,relation,target,target_entity,target_id,field,raw_label,confidence,resolution_rule,legacy_path,original_source,original_relation,original_target,edge_cleaning
akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__001__Stiftung_Abendrot_Vorsorgestiftung_Abendrot,akteur_beteiligung,K118_Kopfbau_Halle_118_Winterthur__001__Stiftung_Abendrot_Vorsorgestiftung_Abendrot,belongs_to_fallstudie,fallstudie/K118_Kopfbau_Halle_118_Winterthur,fallstudie,K118_Kopfbau_Halle_118_Winterthur,fallstudie,fallstudie/K118_Kopfbau_Halle_118_Winterthur,structural,frontmatter,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__001__Stiftung_Abendrot_Vorsorgestiftung_Abendrot,belongs_to_fallstudie,fallstudie/K118_Kopfbau_Halle_118_Winterthur,unchanged
akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__001__Stiftung_Abendrot_Vorsorgestiftung_Abendrot,akteur_beteiligung,K118_Kopfbau_Halle_118_Winterthur__001__Stiftung_Abendrot_Vorsorgestiftung_Abendrot,belongs_to_projekt,projekt/K118_Kopfbau_Halle_118_Winterthur,projekt,K118_Kopfbau_Halle_118_Winterthur,projekt,K118_Kopfbau_Halle_118_Winterthur,structural,frontmatter,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__001__Stiftung_Abendrot_Vorsorgestiftung_Abendrot,belongs_to_projekt,projekt/K118_Kopfbau_Halle_118_Winterthur,unchanged
akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__001__Stiftung_Abendrot_Vorsorgestiftung_Abendrot,akteur_beteiligung,K118_Kopfbau_Halle_118_Winterthur__001__Stiftung_Abendrot_Vorsorgestiftung_Abendrot,has_akteurrolle,akteurrolle/Bauherr_Auftraggeber,akteurrolle,Bauherr_Auftraggeber,beziehung,Bauherr / Eigentümer,rule_high,role_client_owner,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__001__Stiftung_Abendrot_Vorsorgestiftung_Abendrot,has_akteurrolle,akteurrolle/Bauherr_Auftraggeber,unchanged
akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__001__Stiftung_Abendrot_Vorsorgestiftung_Abendrot,akteur_beteiligung,K118_Kopfbau_Halle_118_Winterthur__001__Stiftung_Abendrot_Vorsorgestiftung_Abendrot,relates_to_bauobjekt,bauobjekt/K118_Kopfbau_Halle_118_Winterthur,bauobjekt,K118_Kopfbau_Halle_118_Winterthur,bauobjekt,K118_Kopfbau_Halle_118_Winterthur,structural,frontmatter,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__001__Stiftung_Abendrot_Vorsorgestiftung_Abendrot,relates_to_bauobjekt,bauobjekt/K118_Kopfbau_Halle_118_Winterthur,unchanged
akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__002__baub_ro_in_situ,akteur_beteiligung,K118_Kopfbau_Halle_118_Winterthur__002__baub_ro_in_situ,belongs_to_fallstudie,fallstudie/K118_Kopfbau_Halle_118_Winterthur,fallstudie,K118_Kopfbau_Halle_118_Winterthur,fallstudie,fallstudie/K118_Kopfbau_Halle_118_Winterthur,structural,frontmatter,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__002__baub_ro_in_situ,belongs_to_fallstudie,fallstudie/K118_Kopfbau_Halle_118_Winterthur,unchanged
akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__002__baub_ro_in_situ,akteur_beteiligung,K118_Kopfbau_Halle_118_Winterthur__002__baub_ro_in_situ,belongs_to_projekt,projekt/K118_Kopfbau_Halle_118_Winterthur,projekt,K118_Kopfbau_Halle_118_Winterthur,projekt,K118_Kopfbau_Halle_118_Winterthur,structural,frontmatter,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__002__baub_ro_in_situ,belongs_to_projekt,projekt/K118_Kopfbau_Halle_118_Winterthur,unchanged
akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__002__baub_ro_in_situ,akteur_beteiligung,K118_Kopfbau_Halle_118_Winterthur__002__baub_ro_in_situ,has_akteurrolle,akteurrolle/Architektur,akteurrolle,Architektur,beziehung,Architektur,rule_high,role_architecture,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__002__baub_ro_in_situ,has_akteurrolle,akteurrolle/Architektur,unchanged
akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__002__baub_ro_in_situ,akteur_beteiligung,K118_Kopfbau_Halle_118_Winterthur__002__baub_ro_in_situ,involves_akteur,akteur/baubuero_in_situ_zirkular,akteur,baubuero_in_situ_zirkular,akteur_candidate,baubüro in situ,manual_high,akteur_manual_alias,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__002__baub_ro_in_situ,involves_akteur,akteur/baubuero_in_situ_zirkular,unchanged
akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__002__baub_ro_in_situ,akteur_beteiligung,K118_Kopfbau_Halle_118_Winterthur__002__baub_ro_in_situ,relates_to_bauobjekt,bauobjekt/K118_Kopfbau_Halle_118_Winterthur,bauobjekt,K118_Kopfbau_Halle_118_Winterthur,bauobjekt,K118_Kopfbau_Halle_118_Winterthur,structural,frontmatter,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__002__baub_ro_in_situ,relates_to_bauobjekt,bauobjekt/K118_Kopfbau_Halle_118_Winterthur,unchanged
akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__003__Zirkular_GmbH,akteur_beteiligung,K118_Kopfbau_Halle_118_Winterthur__003__Zirkular_GmbH,belongs_to_fallstudie,fallstudie/K118_Kopfbau_Halle_118_Winterthur,fallstudie,K118_Kopfbau_Halle_118_Winterthur,fallstudie,fallstudie/K118_Kopfbau_Halle_118_Winterthur,structural,frontmatter,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__003__Zirkular_GmbH,belongs_to_fallstudie,fallstudie/K118_Kopfbau_Halle_118_Winterthur,unchanged
