"source","old_relation","old_target","raw_label","existing_clean_huerde_edges","logistikproblem_decision","suggested_target","suggested_relation","database_change","rationale","legacy_path"
"reuse_einsatz/BedZED_London_Hackbridge__004__T_ren","has_huerde","huerde/Logistikproblem","Programm-/Lieferkettenprobleme bei reclaimed doors","","candidate_precise_huerde","huerde/Verfuegbarkeitsproblem","has_huerde","none","Supply-chain issue is more precise than generic logistics.","Gebäude\BedZED_London_Hackbridge.md"
"reuse_einsatz/Christ_Pavilion_Volkenroda__002__Dachtragwerk_Christusraum","has_huerde","huerde/Logistikproblem","Fügung/Transport","","candidate_review_split","huerde/Kompatibilitaetsproblem or huerde/Anschlussproblem","has_huerde","none","Transport/mounting can be fit, connection, or sequencing issue; verify source.","Gebäude\Christ_Pavilion_Volkenroda.md"
"reuse_einsatz/Juch_Areal_Recyclingzentrum_Zuerich__002__Betonplatten_aus_Kerenzerbergtunnel","has_huerde","huerde/Logistikproblem","Gewicht, Transport, Plattenzustand","","candidate_review_split","huerde/Kompatibilitaetsproblem or huerde/Toleranzen","has_huerde","none","Weight/handling can be compatibility, tolerance, or process issue; verify source.","Gebäude\Juch_Areal_Recyclingzentrum_Zuerich.md"
"reuse_einsatz/Big_Dig_House_Lexington_Massachusetts__004__Ramp_pier_components","has_huerde","huerde/Logistikproblem","heavy lifting / transport","","candidate_review_split","huerde/Kompatibilitaetsproblem or huerde/Toleranzen","has_huerde","none","Weight/handling can be compatibility, tolerance, or process issue; verify source.","Gebäude\Big_Dig_House_Lexington_Massachusetts.md"
"reuse_einsatz/Ferme_du_Rail_Paris__003__Granitbordsteine","has_huerde","huerde/Logistikproblem","Logistik / Gewicht","","candidate_review_split","huerde/Kompatibilitaetsproblem or huerde/Toleranzen","has_huerde","none","Weight/handling can be compatibility, tolerance, or process issue; verify source.","Gebäude\Ferme_du_Rail_Paris.md"
"reuse_einsatz/Resilience_La_Ferme_des_Possibles_Stains__012__Granitpflaster","has_huerde","huerde/Logistikproblem","Logistik Gewicht","","candidate_review_split","huerde/Kompatibilitaetsproblem or huerde/Toleranzen","has_huerde","none","Weight/handling can be compatibility, tolerance, or process issue; verify source.","Gebäude\Resilience_La_Ferme_des_Possibles_Stains.md"
"reuse_einsatz/Kindergarten_Moeoeslistrasse_Manegg_Zuerich__011__Pflanztr_ge","has_huerde","huerde/Logistikproblem","Transport/Gewicht","","candidate_review_split","huerde/Kompatibilitaetsproblem or huerde/Toleranzen","has_huerde","none","Weight/handling can be compatibility, tolerance, or process issue; verify source.","Gebäude\Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md"
"reuse_einsatz/Broethen_Twin_House_Hoyerswerda__002__Deckenplatten","has_huerde","huerde/Logistikproblem","Transportgewicht","","candidate_review_split","huerde/Kompatibilitaetsproblem or huerde/Toleranzen","has_huerde","none","Weight/handling can be compatibility, tolerance, or process issue; verify source.","Gebäude\Broethen_Twin_House_Hoyerswerda.md"
"reuse_einsatz/Christ_Pavilion_Volkenroda__004__Marmor_Glas_Wand_Christusraum","has_huerde","huerde/Logistikproblem","Bruch/Transport","huerde/Bruch_Beschaedigungsrisiko","covered_by_existing_concrete_huerden","","","none","Concrete hurdle edges already exist; do not also import broad Logistikproblem.","Gebäude\Christ_Pavilion_Volkenroda.md"
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__001__Hohlk_rperdecken_hollow_core_slabs","has_huerde","huerde/Logistikproblem","Demontage, Tests, Transport, Kosten","huerde/Anschlussproblem","covered_by_existing_concrete_huerden","","","none","Concrete hurdle edges already exist; do not also import broad Logistikproblem.","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md"
