"source","case_id","legacy_path","value","relationship","confidence_source","note","raw_label","reason"
"","55_Great_Suffolk_Street_London","Gebäude\55_Great_Suffolk_Street_London.md","","","","","Bestandsaufnahme | Bedarf an Stahlprofilen für externen Kern identifiziert | Circular economy briefing | frühzeitige Integration in RIBA Stage 2/3","no_logistik_token_match"
"","55_Great_Suffolk_Street_London","Gebäude\55_Great_Suffolk_Street_London.md","","","","","Schadstoffprüfung","no_logistik_token_match"
"","55_Great_Suffolk_Street_London","Gebäude\55_Great_Suffolk_Street_London.md","","","","","Aufbereitung | Attachments entfernt, Löcher gefüllt, Profile getestet | Restoration / recertification","no_logistik_token_match"
"","55_Great_Suffolk_Street_London","Gebäude\55_Great_Suffolk_Street_London.md","","","","","Genehmigung | Denkmal-/Planungskontext mit Southwark | Conservation + retrofit","no_logistik_token_match"
"","55_Great_Suffolk_Street_London","Gebäude\55_Great_Suffolk_Street_London.md","","","","","Wiedereinbau | Montage neuer Kern aus reused steel | Stahlbau | keine Zeitwirkung laut ASBP","no_logistik_token_match"
"","55_Great_Suffolk_Street_London","Gebäude\55_Great_Suffolk_Street_London.md","","","","","Monitoring | Carbon und Projektziele dokumentiert | embodied-carbon assessment","no_logistik_token_match"
"","AWM_Muenster_Circular_Office","Gebäude\AWM_Muenster_Circular_Office.md","","","","","Bestandsaufnahme | Entscheidung Umbau statt Rückbau | ReUse first / Umbau vor Neubau | im Bestand","no_logistik_token_match"
"","AWM_Muenster_Circular_Office","Gebäude\AWM_Muenster_Circular_Office.md","","","","","Schadstoffprüfung","no_logistik_token_match"
"","AWM_Muenster_Circular_Office","Gebäude\AWM_Muenster_Circular_Office.md","","","","","Rückbau | Glastrennwände aus Behrensbau zurückgewinnen | Urban Mining | Concular-Plattform | Düsseldorf -> Münster","no_logistik_token_match"
"","AWM_Muenster_Circular_Office","Gebäude\AWM_Muenster_Circular_Office.md","","","","","Ausbau | 3. OG umbauen | zirkulärer Innenausbau | Baustelle im Bestand","no_logistik_token_match"
"","AWM_Muenster_Circular_Office","Gebäude\AWM_Muenster_Circular_Office.md","","","","","Transport | Materialien aus unterschiedlichen öffentlichen Gebäuden | Einzelbeschaffung | Concular | mehrere Quellen in Deutschland","no_logistik_token_match"
"","AWM_Muenster_Circular_Office","Gebäude\AWM_Muenster_Circular_Office.md","","","","","Lagerung","no_logistik_token_match"
