"source","old_relation","old_target","raw_label","existing_clean_huerde_edges","performance_nachweis_decision","suggested_target","suggested_relation","database_change","rationale","legacy_path"
"reuse_einsatz/Maison_DnA_Asse__003__innere_Box","has_huerde","huerde/Performance_Nachweis","Energieanforderungen","","candidate_non_huerde_requirement","leistungsanforderung/Waermeschutz","has_leistungsanforderung","none","Energy requirement is likely a performance requirement, not a hurdle node.","Gebäude\Maison_DnA_Asse.md"
"reuse_einsatz/Brighton_Waste_House_Brighton__005__Vinylbanner","has_huerde","huerde/Performance_Nachweis","Eignung als Baufolie","","candidate_precise_huerde","huerde/Technische_Freigabe","has_huerde","none","Raw label points to missing technical proof/approval.","Gebäude\Brighton_Waste_House_Brighton.md"
"reuse_einsatz/Thoravej_29_Copenhagen__002__Fassaden_Ziegel_berschuss","has_huerde","huerde/Performance_Nachweis","Eignung als Boden","","candidate_precise_huerde","huerde/Technische_Freigabe","has_huerde","none","Raw label points to missing technical proof/approval.","Gebäude\Thoravej_29_Copenhagen.md"
"reuse_einsatz/Musee_de_Folklore_Mouscron__002__Neue_Ziegel","has_huerde","huerde/Performance_Nachweis","nötig zur Begrenzung von Tests/Stabilitätsaufwand","","candidate_precise_huerde","huerde/Technische_Freigabe","has_huerde","none","Raw label points to missing technical proof/approval.","Gebäude\Musee_de_Folklore_Mouscron.md"
"reuse_einsatz/Maison_DnA_Asse__009__D_mmung","has_huerde","huerde/Performance_Nachweis","unbekannte Werte","","candidate_precise_huerde","huerde/Technische_Freigabe","has_huerde","none","Raw label points to missing technical proof/approval.","Gebäude\Maison_DnA_Asse.md"
"reuse_einsatz/Grubenstrasse_29_Werkhof_29_Zuerich__002__Dachbleche","has_huerde","huerde/Performance_Nachweis","Dichtheit, Befestigung","","candidate_review_split","huerde/Dauerhaftigkeit_Restlebensdauer","has_huerde","none","Durability/rest-life issue likely, but source context should decide exact target.","Gebäude\Grubenstrasse_29_Werkhof_29_Zuerich.md"
"reuse_einsatz/Juch_Areal_Recyclingzentrum_Zuerich__004__Stahltr_ger_und_Trapezbleche_Dach","has_huerde","huerde/Performance_Nachweis","Korrosion, Dichtheit","","candidate_review_split","huerde/Dauerhaftigkeit_Restlebensdauer","has_huerde","none","Durability/rest-life issue likely, but source context should decide exact target.","Gebäude\Juch_Areal_Recyclingzentrum_Zuerich.md"
"reuse_einsatz/BioPartner_5_Leiden_Oegstgeest__007__Sanit_r","has_huerde","huerde/Performance_Nachweis","Akzeptanz Installateur, Gewährleistung","huerde/Akzeptanzproblem; huerde/Gewaehrleistung","covered_by_existing_concrete_huerden","","","none","Concrete hurdle edges already exist; do not also import broad huerde/Performance_Nachweis.","Gebäude\BioPartner_5_Leiden_Oegstgeest.md"
"reuse_einsatz/Plattenpalast_Berlin__002__Fenster_inkl_Rahmen","has_huerde","huerde/Performance_Nachweis","Alter, Leistung, Dichtheit","huerde/Zustand_Unklar","covered_by_existing_concrete_huerden","","","none","Concrete hurdle edges already exist; do not also import broad huerde/Performance_Nachweis.","Gebäude\Plattenpalast_Berlin.md"
"reuse_einsatz/Kindergarten_Moeoeslistrasse_Manegg_Zuerich__009__Sanit_rapparate_Lavabos_Toiletten","has_huerde","huerde/Performance_Nachweis","Aufbereitung, Gewährleistung","huerde/Aufbereitungsaufwand; huerde/Gewaehrleistung","covered_by_existing_concrete_huerden","","","none","Concrete hurdle edges already exist; do not also import broad huerde/Performance_Nachweis.","Gebäude\Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md"
